,address,blockNumber,timestamp,timestampNanoseconds,value
0,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632477,2020-05-31 06:20:03,0,0
1,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632392,2020-05-30 17:15:16,0,5464597
2,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632359,2020-05-30 12:41:15,0,1514936
3,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632326,2020-05-30 07:24:46,0,9864
4,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632227,2020-05-29 13:51:01,0,3263373
5,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632181,2020-05-29 06:16:11,0,622305
6,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,632174,2020-05-29 05:22:54,0,6245368
7,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631544,2020-05-24 06:39:00,0,2181381
8,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631476,2020-05-23 17:41:59,0,7187453
9,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631474,2020-05-23 16:51:38,0,5100453
10,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631416,2020-05-23 06:59:11,0,94381
11,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631307,2020-05-22 07:30:48,0,4304381
12,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631301,2020-05-22 06:09:23,0,2206367
13,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,631298,2020-05-22 05:33:50,0,4404031
14,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,630462,2020-05-15 06:03:10,0,1796371
15,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629971,2020-05-11 07:54:55,0,86184
16,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629799,2020-05-10 08:05:45,0,4176184
17,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629501,2020-05-08 06:21:33,0,1748610
18,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629416,2020-05-07 15:34:17,0,3490537
19,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629346,2020-05-07 06:05:32,0,587123
20,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629276,2020-05-06 16:51:39,0,1087234
21,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629214,2020-05-06 06:09:28,0,57282
22,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629125,2020-05-05 17:18:25,0,7707282
23,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629049,2020-05-05 06:53:55,0,2390430
24,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,629046,2020-05-05 06:28:19,0,34445
25,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,628959,2020-05-04 15:58:45,0,7968389
26,3BMEXGt7JbHujj9Uc7oCfsJjn8mWoYPbaF,628744,2020-05-03 06:19:13,0,34445
