,inflow,outflow,net,close,volume
2020-04-05,0.0,0.0,0.0,7338.0,2341814274
2020-04-06,0.0,0.03322452,-0.03322452,7193.0,2098135699
2020-04-07,0.036,0.0,0.036,7362.5,1776328298
2020-04-08,0.0,0.05347988,-0.05347988,7289.5,1676985467
2020-04-09,0.0366,0.0,0.0366,6868.5,2206832440
2020-04-10,0.17462937,0.43872751,-0.26409814,6885.0,1054582288
2020-04-11,0.06804294,0.10176317,-0.03372023,6905.5,1720103437
2020-04-12,0.042,0.07489343,-0.03289343,6853.0,2252284386
2020-04-13,0.076,3.95357286,-3.87757286,6868.0,1400091537
2020-04-14,0.13415022,0.09015656,0.04399366,6615.5,1489184700
2020-04-15,0.0,0.04100681,-0.04100681,7106.5,3006153467
2020-04-16,1.07559885,0.071,1.00459885,7025.0,1225409067
2020-04-17,0.12097965,0.76950794,-0.64852829,7256.5,1302161155
2020-04-18,0.076,2.30056064,-2.22456064,7125.5,1139540564
2020-04-19,0.0379,0.04071663,-0.00281663,6833.0,2362464868
2020-04-20,0.13700031,0.09264413,0.04435618,6848.5,1528684889
2020-04-21,0.1677421,0.13700031,0.03074179,7133.5,1450803027
2020-04-22,0.0,0.0,0.0,7492.0,2488032747
2020-04-23,0.02693026,0.1677421,-0.14081184,7503.5,1473830307
2020-04-24,0.19257076,0.101,0.09157076,7542.0,1362595381
2020-04-25,0.07517128,0.1264604,-0.05128912,7702.5,1432590477
2020-04-26,0.21470707,0.1880165,0.02669057,7788.0,1663495897
2020-04-27,0.0,0.06466185,-0.06466185,7752.0,1154456663
2020-04-28,0.07783287,0.0,0.07783287,8794.0,5110631297
2020-04-29,0.36886124,0.29081104,0.0780502,8627.5,5794365072
2020-04-30,0.05891128,0.0,0.05891128,8832.0,2573647732
2020-05-01,0.01099473,0.84322214,-0.83222741,8980.5,1560102376
2020-05-02,0.22025472,0.29621655,-0.07596183,8907.5,2666607086
2020-05-03,0.03891815,0.2127046,-0.17378645,8885.0,2424132603
2020-05-04,0.23132913,0.11525669,0.11607244,9025.5,2291572960
2020-05-05,0.10289929,0.19541188,-0.09251259,9153.5,2902813165
2020-05-06,0.05316852,0.13794587,-0.08477735,10010.0,4370697867
2020-05-07,0.06029952,0.00500111,0.05529841,9806.5,3138865117
2020-05-08,0.02903414,0.99196075,-0.96292661,9537.5,2448399578
2020-05-09,0.0,0.0,0.0,8727.5,5273700229
2020-05-10,0.20938192,0.0,0.20938192,8565.5,4956763516
2020-05-11,0.0,0.0409,-0.0409,8822.5,2175540768
2020-05-12,0.21482093,0.05,0.16482093,9314.5,2308094044
2020-05-13,0.0062,0.1998056,-0.1936056,9801.5,3582078491
2020-05-14,0.01566176,0.0,0.01566176,9315.5,3557587206
2020-05-15,0.04809103,0.21158049,-0.16348946,9384.0,1695988070
2020-05-16,0.0,0.0071913,-0.0071913,9677.0,1906941149
2020-05-17,0.0,0.0,0.0,9727.0,2328475675
2020-05-18,0.0,0.0,0.0,9786.5,2217743953
2020-05-19,0.0,0.0,0.0,9505.0,2171424772
2020-05-20,0.29,0.0,0.29,9059.0,2627516144
2020-05-21,0.0,0.0,0.0,9159.5,1470310195
2020-05-22,0.04705674,0.02197664,0.0250801,9168.5,1121957426
2020-05-23,0.0,0.0421,-0.0421,8705.5,2071794094
2020-05-24,0.07093072,0.05006072,0.02087,8893.5,1624486471
2020-05-25,0.0,0.0,0.0,8838.5,1533118499
2020-05-26,0.0,0.0,0.0,9205.0,1580447514
2020-05-27,0.0,0.0,0.0,9582.5,1783582616
2020-05-28,0.0,0.0,0.0,9427.5,1306089040
2020-05-29,0.14631974,0.05623063,0.09008911,9702.0,1437913147
2020-05-30,0.02641068,0.03253509,-0.00612441,9445.5,1326927953
2020-05-31,0.05454733,0.05464597,-9.864e-05,10250.5,2221794381
2020-06-01,0.0,0.29,-0.29,9520.0,2585912904
2020-06-02,0.0,0.0,0.0,9668.0,1103857150
2020-06-03,0.0,0.0,0.0,9778.5,1155570064
